Matrícula;Salário
618202;2701,1
618301;2866,43
618501;2866,43
618701;2866,43
618901;2866,43
619201;2755,15
619701;2866,43
620101;2596,21
620501;2810,23
631101;2755,15
631801;2866,43
632301;2866,43
632801;2866,43
636113;2810,23
636705;2701,1
653701;2866,43
654303;2810,23
654402;2810,23
654902;2701,1
655611;2701,1
655803;2866,43
655917;2701,1
656208;2701,1
656502;2866,43
656603;2866,43
657303;2701,1
657402;2866,43
659311;2701,1
660312;2810,23
660413;2648,15
660811;2810,23
661106;2810,23
661806;2810,23
662107;2810,23
669012;2648,15
672907;2701,1
674304;2648,15
674602;2866,43
674811;2648,15
675402;2648,15
676106;2755,15
679308;2596,21
679902;2701,1
682903;2648,15
683613;2596,21
684503;2866,43
685710;2701,1
686503;2755,15
686803;2866,43
686911;2701,1
687204;2866,43
687304;2701,1
687604;2866,43
690501;2701,1
690808;2810,23
691314;2648,15
692403;2810,23
692611;2701,1
694510;2755,15
695316;2701,1
695710;2810,23
697809;2648,15
699507;2810,23
719510;2755,15
721506;2866,43
728703;2755,15
728914;2701,1
745701;2866,43
752401;2866,43
768003;2866,43
782410;2810,23
787602;2866,43
793711;2810,23
796813;2755,15
798117;2810,23
802401;3228,07
804301;3228,07
804701;3635,35
805501;3635,35
805901;2923,77
811101;3164,76
811601;3041,91
814201;3164,76
814401;3425,66
824901;2982,23
830301;3102,74
830501;3564,05
834201;3292,66
848401;3425,66
850001;2810,23
858301;2923,77
859903;2701,1
863302;2810,23
864021;2701,1
864201;3228,07
864501;3164,76
866406;2701,1
867801;3164,76
868001;3228,07
868307;2810,23
868702;2866,43
871009;2810,23
871807;2755,15
873001;3228,07
873101;2982,23
874101;3564,05
876801;2923,77
877401;3425,66
879801;2755,15
882402;2755,15
882501;3564,05
987803;2701,1
1028402;2755,15
1046701;2866,43
1054903;2701,1
1060803;2701,1
1088812;2701,1
1100201;2810,23
1100902;2596,21
1101904;2810,23
1102202;2810,23
1102302;2755,15
1102502;2755,15
1103102;2810,23
1111101;2755,15
1112102;2810,23
1112805;2755,15
1113103;2755,15
1113602;2701,1
1115507;2810,23
1116605;2810,23
1120506;2810,23
1122507;2810,23
1122918;2701,1
1128503;2810,23
1128903;2755,15
1129203;2701,1
1136512;2701,1
1139301;2866,43
1141402;2755,15
1141602;2755,15
1142602;2810,23
1147404;2810,23
1155105;2810,23
1175807;2701,1
1184113;2701,1
1188908;2755,15
1189105;2810,23
1191507;2701,1
1196106;2810,23
1196207;2755,15
1196314;2755,15
1196404;2648,15
1221503;2596,21
1231802;2648,15
1233402;2810,23
1252506;2810,23
1253907;2701,1
1256707;2701,1
1264505;2755,15
1264913;2701,1
1266101;2810,23
1267208;2755,15
1267908;2810,23
1270204;2701,1
1283807;2701,1
1287515;2701,1
1321204;2810,23
1325202;2755,15
1333108;2755,15
1333906;2810,23
1337809;2701,1
1340304;2755,15
1344302;2755,15
1349209;2701,1
1357208;2701,1
1360415;2545,32
1382102;2810,23
1383802;2701,1
1385306;2755,15
1395504;2810,23
1395908;2701,1
1415203;2701,1
1415805;2755,15
1415902;2810,23
1421104;2648,15
1428404;2701,1
1439604;2596,21
1447806;2755,15
1458402;2755,15
1461010;2648,15
1491207;2701,1
1491307;2701,1
1492501;2755,15
1493001;2755,15
1493701;2810,23
1494801;2810,23
1495201;2701,1
1502801;2810,23
1503201;3041,91
1503307;2701,1
1503401;2810,23
1503906;2701,1
1523201;2810,23
1527909;2701,1
1532206;2810,23
1553601;2810,23
1555001;2810,23
1566701;2755,15
1567701;2810,23
1568001;2810,23
1571402;2545,32
1588301;2810,23
1588401;2810,23
1590904;2701,1
1603406;2545,32
1615201;2755,15
1620501;2701,1
1626003;2701,1
1628301;2755,15
1638801;2755,15
1638901;2755,15
1639201;2755,15
1641007;2545,32
1664702;2648,15
1671302;2701,1
1677707;2545,32
1682001;2755,15
1682904;2545,32
1730201;2701,1
1730701;2701,1
1730901;2701,1
1731101;2701,1
1731301;2701,1
1732001;2596,21
1732101;2701,1
1737502;2545,32
1759701;2701,1
1797502;2545,32
1846101;2545,32
1846301;2545,32
1846501;2545,32
1856601;2545,32
1863402;2545,32
1990001;4013,7
2273001;3228,07
2296001;2982,23
2785001;3041,91
2798001;3102,74
2861001;3228,07
2933001;3102,74
2988003;3564,05
2992001;3292,66
3367001;3708,03
3442001;3494,16
3589001;3228,07
3590001;3164,76
3704001;2982,23
4040001;3228,07
4043001;3358,51
4077001;3564,05
4294001;3292,66
4600201;3425,66
4644001;3041,91
8793501;3425,66
63501;1993,48
452502;1701,43
560401;1916,06
681208;1701,43
869201;1916,06
1045301;1735,45
1061620;1701,43
1089309;1701,43
1150615;1701,43
1184412;1701,43
1350006;1878,5
1471913;1735,45
1489304;1701,43
1552103;1701,43
1580305;1735,45
1664505;1701,43
1666306;1701,43
1677607;1701,43
1731901;1841,66
1755408;1701,43
1762805;1701,43
1771804;1701,43
1805105;1701,43
1806403;1701,43
1832104;1701,43
1838603;1701,43
1858308;1701,43
1859902;1701,43
1861006;1701,43
1865304;1701,43
1869104;1701,43
1878702;1701,43
1912001;1701,43
1920502;1701,43
1956004;1701,43
1962201;1701,43
1962301;1701,43
1962401;1701,43
1967202;1701,43
1973802;1701,43
2010702;1701,43
2012101;1701,43
2013101;1701,43
2018001;1701,43
2018901;1701,43
2019501;1701,43
2020904;1701,43
2022101;1701,43
2022201;1701,43
2037101;1701,43
2037201;1701,43
2037601;1701,43
2039901;1701,43
182201;2186,4
566501;2511,5
814301;2718,51
2998001;2060,31
3043001;2366,63
3126001;2060,31
3754001;2320,22
3977001;2366,63
4463001;2143,53
4478001;2060,31
4542001;2230,13
4847001;2612,94
4871001;2413,97
8790501;2561,73
1139701;4221,37
1121202;3975,24
1139101;3750,22
1304103;3822,35
1434201;3975,24
1434501;3975,24
1435201;3605,97
1448901;3822,35
1139601;3750,22
1434101;3750,22
1434301;3975,24
1435101;3975,24
1448701;3975,24
1937001;3467,3
1938001;3467,3
1995501;3467,3
554301;2504,67
4251001;2765,35
49901;2982,23
159301;2923,77
159801;3102,74
160001;3102,74
539201;1405,13
554001;1551,35
554201;3041,91
554401;3102,74
620901;1433,23
914507;2495,39
1044901;2810,23
1155202;2495,39
1275509;1247,7
1340416;2495,39
1348205;1324,08
1471707;2545,32
1512301;2701,1
1567402;2495,39
1608210;2495,39
1728505;1247,7
1759901;1324,08
1764501;2648,15
1803605;2495,39
1910101;2495,39
2058001;3041,91
4727001;2810,23
8791701;1350,56
159101;3413
159501;3413
160301;3091,26
556901;3413
620801;2912,97
665610;2912,97
666604;3153,09
704901;3153,09
793603;2971,23
832401;3346,09
853101;3413
902801;3153,09
902901;3030,66
1045001;3030,66
1139001;1576,52
1260904;2799,86
1264304;3030,66
1803702;2799,86
1849101;2799,86
1855501;2799,86
3082001;3413
4060001;3413
4873001;3413
159401;3754,3
704801;3468,39
749402;2605,85
25210;2495,39
127601;2923,77
150101;2866,43
616506;2495,39
620601;2866,43
664406;2495,39
664807;2810,23
666807;2701,1
668610;2495,39
671417;2495,39
690701;1405,13
697412;2495,39
760108;1272,66
772106;2648,15
788514;2495,39
1004909;2755,15
1010806;1272,66
1112503;2495,39
1117018;2495,39
1141303;2495,39
1143003;2495,39
1189511;2495,39
1229104;2495,39
1264006;2495,39
1267111;2495,39
1361405;2495,39
1432206;1247,7
1583705;2545,32
1671506;2495,39
1674604;1272,66
1807104;2495,39
1808105;2495,39
